Restaurant Name,Address,Open/Close Times,Item Name,Description,Price
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Fanta,Orange flavor.,$3.50
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Masala Tea,Indian style spiced tea.,$2.55
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Coffee,South Indian style coffee.,$3.00
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Chaas,Yogurt shake with salt and spices.,$5.00
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Assorted Appetizers,"Batata vada, samosa, pakora and bajjia.",$11.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Papadam,2 lentil wafers with a sweet and spicy sauce.,$2.49
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Masala Spiced Cashew Nuts,Cashew nuts with masala and spices.,$6.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Behl Puri,"Puffed rice, crispy, tomato, onion with tamarind and cilantro.",$4.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Paneer Pakora,6 pieces of homemade cheese with spices and chickpeas flour.,$6.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Gobi Manchurian,Cauliflower Asian inspired tomato glazed and cooked until dry.,$8.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Paneer Manchurian,"Homemade cheese, tomato glazed and cooked until dry.",$9.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Alu Tikki,2 potato with spices.,$5.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Idli,2 steamed rice and lentil flour cakes.,$5.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Mini Idli,10 steamed rice and lentil flour cakes.,$6.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Ghee Fried Idli,Rice cake with dosa podi and spices.,$6.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Idli Vada,Combo of idli and vada.,$5.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Medu Vada,2 lentils flour donuts.,$5.99
Dosa World,"355 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:30 PM,Dahi Vada,2 vada in yogurt sauce.,$6.99
