Restaurant Name,Address,Open/Close Times,Item Name,Price
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Aam Panna,$5.40
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Badshahi Falooda,$7.14
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Cardamom Tea,$3.00
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Coke,$3.00
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Cold Coffee wth Ice Cream,$7.14
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Diet Coke,$3.00
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Kesar Badam Milk,$7.14
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Salt Lassi,$5.94
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Madras Coffee,$3.00
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Masala Soda,$4.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Masala Tea,$3.00
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Milk Shake,$7.14
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Sprite,$3.00
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Thumpsup,$3.00
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Water,$1.20
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Mango Lassi,$5.94
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,no more,$5.94
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Limca,$5.94
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Aloo Laccha Tokri,$10.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Aloo Papri Chaat,$10.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Aloo Tikki Chaat,$10.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Bhel Puri,$10.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,BREAD PAKORA,$10.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Dahi Batata Puri,$10.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Dahi Bhalla,$10.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Kashmiri Aloo Tikki,$10.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Masala Fries,$7.14
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Mix. Veg. Pakora,$10.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Moong Dal Kachori,$7.80
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Paneer Pakoda,$11.94
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Pani Puri,$10.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Pyaaz Kachori,$7.80
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Raj Kachori Chaat,$10.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,SAMOSA 2PCS,$4.80
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Samosa Channa Chaat,$10.20
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Sev Batata Puri,$10.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Sev Puri Dahi Puri (SPDP),$10.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Samosa Pao,$11.94
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Pao Bhaji,$14.34
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Amul Cheese Pao Bhaji,$15.54
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Wada Pao,$11.94
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Dabeli,$11.94
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Chilli Cheese Toast,$10.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Veg. Burger,$11.94
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Bombay Veg. Grilled,$11.94
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Mithaas Special Club,$13.14
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Shahi S/w,$13.14
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Grilled Panini,$14.34
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Falafal,$11.94
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Khasta Kachori with Aloo Bhaji,$11.94
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Mithaas spl Wrap,$11.94
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Paneer Kathi Roll,$14.34
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Gobhi Masala Roll,$13.14
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Channa Bhatura,$15.54
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Bedmi Poori Bhaji,$14.34
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Roomali Roti Veg Keema,$14.34
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Makki Ki Roti Sarson Ka Saag,$15.54
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Veg Biryani,$15.54
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Aloo Gobhi Masala,$14.34
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Bhindi Masala,$14.34
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Dal Tadka,$15.54
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Dal Makhani,$15.54
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Chana Masala,$15.54
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Vegetable Jalfarezi,$14.34
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Paneer Makhani,$16.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Shahi Paneer,$16.74
Mithaas - Hicksville,"217 Bethpage Rd, Hicksville, NY 11801, USA",Mon-Sun: 11:00 AM - 9:30 PM,Paneer Tikka Masala,$16.74
