Restaurant Name,Address,Open/Close Times,Item Name,Description,Price
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Idly,(steamed rice & lentil patties),$3.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Podi Idly,(idly & spicy podi mix),$4.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Mini Idly W/ Sambar Or Butter,(mini size idly),$4.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Idly In Sambar Or Rasam,(mini idly soaked in sambar or rasam),$4.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Rava Idly,(semolina & lentil patties),$3.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Vada,(fried lentil doughnuts),$3.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Vada In Sambar Or Rasam,(vada soaked in sambar or rasam),$4.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Dahi Vada,(lentil balls soaked in spiced yogurt),$3.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Dal Vada,(crispy chana dal vada),$3.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Bhel Puri,"(puffed rice w/ onion, tomato, chilli & spices)",$3.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Aloo Bonda,(lentil dumpling w/ onion & potato),$3.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Cutlet,(minced veg. w/ spices crumbed & fried),$3.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Spring Roll,(mix veg. stuffed rolls),$3.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Panneer Cutlet,(home made cheese w/ potato & mint leaves),$3.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Pakora (regular),"(onion, spinach & chick peas flour fritters)",$3.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Mix Veg Pakora,(mix veg. dipped in chick peas flour fritters),$3.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Chilli Pakora *,(hot green chillies dipped in chick peas flour fritters),$3.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Panneer Pakora,(home made cheese dipped in chick peas flour fritters),$4.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Panneer Sauteed *,"(home made cheese w/ chilli, onion, gr.pepper & spicy)",$4.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Combo,(1 piece of idly and 1 piece of vada),$3.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Rasam *,(a traditional south indian spiced lentil essence soup),$1.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Chick Peas Salad,"(chick peas, red onion & pepper mixed w/ virgin olive oil)",$3.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Healthy Salad,"(bitter gourd, onion, tomato & lime)",$3.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Spinach Salad,"(spinach, red onion, tomato, green pepper, panneer w/virgin oil & lemon juice)",$5.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Lemon Rice,(fragrant rice cooked w/ lemon juice & spices),$6.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Tamarind Rice *,(rice cooked w/ tamarind & spices),$6.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Tomato Rice *,(rice cooked w/ tomato & spices),$6.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Veg. Biryani,(rice cooked w/ garden fresh vegetables & spices),$6.50
