Item,Temperature (K),Temperature (F),Weather,Time,Busy Time,Predicted Price
Rasam,276.5543890191278,38.12790023443013,heavy rain,1:00 PM,lunch,5.94
Sambar,280.6443377381054,45.48980792858972,moderate rain,12:00 PM,dinner,4.95
Mulligatawny Soup,288.9964744659403,60.5236540386926,moderate rain,7:00 PM,dinner,4.95
Garden Salad,298.29312978595794,77.25763361472434,snow,7:00 PM,dinner,4.95
Tomato Soup,274.27301669711073,34.02143005479936,clear,1:00 PM,lunch,4.95
Katchumber Salad,276.7379116845212,38.45824103213816,snow,1:00 PM,lunch,5.94
Idly,287.0014864389645,56.93267559013613,snow,7:00 PM,dinner,5.95
Podi Idly,298.84582185270614,78.25247933487108,moderate rain,7:00 PM,dinner,6.95
Medu Vada,276.57812504158494,38.170625074852936,snow,7:00 PM,dinner,7.14
Combo,278.34344149340507,41.34819468812916,moderate rain,8:00 PM,dinner,7.188
Dahi Vada,280.08835418616303,44.489037535093495,snow,12:00 PM,dinner,5.94
Batata Vada,294.79287972833254,70.9571835109986,clear,1:00 PM,lunch,4.95
Samosa,291.0942302149528,64.29961438691508,snow,1:00 PM,lunch,4.95
Dahi Bhalla,276.7677777842056,38.51200001157008,moderate rain,12:00 PM,dinner,8.34
Veg Fried Rice,296.54624132290206,74.11323438122375,clear,8:00 PM,dinner,9.95
Chinese Dosa,280.44275190930597,45.12695343675078,clear,8:00 PM,dinner,11.95
Sada Dosa,294.5195712873383,70.46522831720897,heavy rain,8:00 PM,dinner,8.95
Masala Dosa,293.06401496356347,67.84522693441428,heavy rain,12:00 PM,dinner,9.95
Butter Sada Dosa,272.1947612605421,30.28057026897586,moderate rain,7:00 PM,dinner,10.739999999999998
Butter Masala Dosa,299.31243475288426,79.0923825551917,clear,7:00 PM,dinner,9.95
Ghee Roast,274.970538960955,35.27697012971909,moderate rain,8:00 PM,dinner,10.739999999999998
Mysore Masala Dosa,284.03209267903156,51.58776682225685,clear,7:00 PM,dinner,9.95
Set Dosa,280.92790798801934,46.000234378434854,moderate rain,1:00 PM,lunch,8.95
Mushroom Masala Dosa,276.7792815183923,38.532706733106146,heavy rain,1:00 PM,lunch,12.9
Paneer Masala Dosa,280.53823476872293,45.298822583701316,snow,8:00 PM,dinner,11.95
Spinach Masala Dosa,282.5412871956199,48.90431695211581,snow,8:00 PM,dinner,11.95
Pondicherry Masala Dosa,285.76213944069696,54.70185099325456,moderate rain,7:00 PM,dinner,11.95
Cheese Sada Dosa,276.4819546280432,37.997518330477774,clear,7:00 PM,dinner,10.75
Onion Rava Masala Dosa,297.93992229588446,76.62186013259206,snow,12:00 PM,dinner,11.95
Coconut Rava Masala Dosa,270.592657517322,27.396783531179608,clear,1:00 PM,lunch,11.95
Chana Masala,294.34512951129415,70.15123312032951,clear,12:00 PM,dinner,11.95
Palak Paneer,272.374676085076,30.6044169531368,heavy rain,7:00 PM,dinner,15.54
Paneer Tikka Masala,293.7212523646499,69.02825425636986,clear,12:00 PM,dinner,12.95
Kadai Paneer,288.5778694730299,59.7701650514539,snow,1:00 PM,lunch,12.95
Malai Kofta,273.9817490194241,33.49714823496345,snow,12:00 PM,dinner,15.54
Bhindi Masala,282.01698029563903,47.96056453215029,clear,12:00 PM,dinner,11.95
Egg Plant Curry,282.767977484178,49.31235947152045,clear,7:00 PM,dinner,11.95
Pongal,277.8006473088586,40.37116515594547,snow,12:00 PM,dinner,10.739999999999998
Avial,298.03546187513996,76.79383137525197,heavy rain,8:00 PM,dinner,11.95
South Indian Thali,277.3336700707305,39.5306061273149,heavy rain,1:00 PM,lunch,19.139999999999997
North Indian Thali,284.95440131679806,53.24792237023654,heavy rain,1:00 PM,lunch,15.95
Paratha,273.6870321867845,32.96665793621215,clear,8:00 PM,dinner,4.95
Poori,285.0141015785531,53.35538284139561,clear,7:00 PM,dinner,4.95
Lemon Rice,279.72705819326904,43.83870474788432,snow,7:00 PM,dinner,11.94
Coconut Rice,287.2439269101618,57.369068438291286,moderate rain,8:00 PM,dinner,9.95
Yogurt Rice,273.3388930301378,32.340007454248074,heavy rain,7:00 PM,dinner,11.94
Gulab Jamun,287.59308006683966,57.99754412031143,heavy rain,1:00 PM,lunch,4.95
Rasamalai,282.43231017429173,48.70815831372515,moderate rain,1:00 PM,lunch,4.95
Badam Halwa,299.567733485409,79.55192027373626,heavy rain,1:00 PM,lunch,5.95
Sprite,290.5417210235833,63.305097842449996,clear,7:00 PM,dinner,1.95
