Item Name,Price_Village,chennai_dosas,dosa_world,House_of_Dosas,taste_of_chennai,mithaas
Rasam,4.95,5.15,4.99,,6.49,
Sambar,4.95,5.15,,,6.49,
Mulligatawny Soup,4.95,,4.99,,,
Garden Soup,4.95,6.95,,,,
Garden Salad,4.95,6.95,4.75,,6.99,
Tomato Soup,4.95,5.95,4.99,,,
Katchumber Salad,4.95,6.95,4.75,,,
Idly,5.95,,,3.5,,
Podi Idly,6.95,,,4.5,,
Medu Vada,5.95,,5.99,,,11.94
Combo,5.99,,,3.5,,
Dahi Vada,4.95,,6.99,3.95,,
Batata Vada,4.95,6.45,5.99,,,
Samosa,4.95,6.45,5.99,,,
Samosa Chat,6.95,7.45,,,,
Dahi Bhalla,6.95,,,,,10.74
Gobi Manchurian Dry,9.95,9.95,,,,
Veg Fried Rice,9.95,,,,,14.34
Chinese Dosa,11.95,,,8.5,,
Sada Dosa,8.95,9.45,9.99,4.95,,
Masala Dosa,9.95,10.95,9.99,5.5,10.99,14.34
Butter Sada Dosa,8.95,,,5.95,,
Butter Masala Dosa,9.95,11.45,,6.5,,
Ghee Roast,8.95,,,,10.99,
Mysore Masala Dosa,9.95,11.45,,,,14.34
Set Dosa,8.95,10.95,,6.95,9.99,
Mushroom Masala Dosa,10.75,,10.99,,,
Paneer Masala Dosa,11.95,11.45,10.99,,,
Spinach Masala Dosa,11.95,11.45,11.99,6.95,,
Spring Masala Dosa,11.95,11.45,,,,
Pondicherry Masala Dosa,11.95,11.45,12.99,,,
Cheese Sada Dosa,10.75,,,7.5,,
Onion Rava Masala Dosa,11.95,12.95,12.99,8.95,,15.54
Cheese Onion Rava Masala Dosa,12.95,14.2,,,,
Coconut Rava Masala Dosa,11.95,,12.99,,,
Chana Masala,11.95,12.95,12.99,,,15.54
Alu Baingan,11.95,12.95,,,,
Palak Paneer,12.95,14.2,13.99,,14.99,16.74
Paneer Tikka Masala,12.95,14.2,,,14.99,16.74
Kadai Paneer,12.95,,,,14.99,
Malai Kofta,12.95,12.95,13.99,,,16.74
Paneer Bhurji,12.95,14.2,,,,
Bhindi Masala,11.95,11.95,12.99,,,14.34
Egg Plant Curry,11.95,,,7.5,,
Pongal,8.95,,8.99,,,
Avial,11.95,12.95,13.99,,,
Chole Poori,12.95,13.95,,,,
South Indian Thali,15.95,,17.99,,,
North Indian Thali,15.95,,17.99,,,
Paratha,4.95,6.95,5.99,,,
Poori,4.95,7.45,7.99,,,4.2
Alu Paratha,6.95,7.45,,,,
Gobi Paratha,6.95,7.45,,,,
Lemon Rice,9.95,8.95,,6.5,,
Tamarind Rice,9.95,8.95,,,,
Tomato Rice,9.95,8.95,,,,
Coconut Rice,9.95,8.95,,6.95,,
Yogurt Rice,9.95,7.95,,6.5,,
Gulab Jamun,4.95,5.45,4.99,3.5,4.49,
Rasamalai,4.95,,,3.5,,
Badam Halwa,5.95,5.45,5.99,4.0,4.99,
Sprite,1.95,,,,,3.0
