Restaurant Name,Address,Open/Close Times,Item Name,Description,Price
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Sambar,South Indian lentils and mixed vegetable stew,$6.49
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Rasam,Spicy soup made with pepper and tomato,$6.49
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Chicken Soup,Shredded chicken in a spicy broth with homemade spices,$8.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Punjabi Samosa (2 pcs),"Deep-fried with potato, and peas filling",$5.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Onion Pakora,Onion and gram flour mix fried,$7.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Cut Mirchi (6 pcs),Deep-fried chili bhaji sprinkled with onion and chaat masala,$6.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Lasuni Gobi,Battered cauliflower tossed in a fresh garlic and sauce,$10.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Chili Paneer,"Crisp-fried paneer tossed in slightly sweet, spicy, and tangy sauce",$11.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Medhu Vada (2 pcs),Lentil flour donuts with or W/O rasam OR sambar bowl,$6.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Idli (2 pcs),Steamed rice and lentil flour cakes with or W/O rasam OR sambar bowl,$6.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Mini Idli (10 pcs),Mini steamed rice and lentil flour cakes with or W/O rasam OR sambar bowl,$7.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Samosa Chaat,"Samosa (2) in yogurt tamarind, cilantro, sweet and spicy sauce",$8.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Papri Chaat,"Crispies topped with tamarind, dates, and chutney",$8.49
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Garden Salad,Lettuce and other vegetables tossed in dressings,$6.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Chicken Samosa (2 pcs),Mixed chicken and potato turnovers,$10.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Chili Chicken,Boneless chicken saut with Chinese sauce,$13.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,TASMAC Omelet,Spicy beaten egg with onion and chili,$11.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Egg Roast,Boiled egg roasted with South Indian ground spices,$11.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Chicken 65,Deep-fried marinated chicken with curry leaves and chilies,$13.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Raju Gari Kodi Vepudu,Special chicken sauted with homemade spices and cashew nuts,$14.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Singapore Chicken Lollipop,Batter fried lollipop tossed with Asian sauce,$15.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Mamsam Roast,Special goat roasted with homemade spices,$17.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Chili Garlic Shrimp,Tawa sauted shrimp with garlic and chili flakes,$18.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Meen Pollichathu (6 pcs),Tawa fried fish pieces wrapped in banana leaf,$18.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Paneer Tikka,"Indian cheese, onion, bell pepper cooked in a clay oven",$16.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Malai Kabab,White meat marinated in fresh cream and yogurt,$18.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Seekh Kabab,Spicy ground chicken slow-cooked in a clay oven,$17.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Chicken Tikka,Chicken marinated in yogurt and homemade masala grilled in clay oven,$18.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Tandoori Chicken Lollipop,Chicken lollipops marinated and cooked in clay oven,$18.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Tandoori Chicken,"Chicken marinated in yogurt, Indian masala, and dry herbs",$19.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Tandoori Mixed Platter,"Marinated with ginger, garlic, and exotic herbs",$22.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Tandoori Whole Pomfret,Baking whole fish in tandoori oven with homemade spices,$21.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Tandoori Salmon (Fish Tikka),Marinated Salmon baked in tandoori oven with fresh ground homemade masala,$25.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Tandoori Shrimp,Shrimp marinated in homemade masala and cooked in a tandoori oven,$22.99
